DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,BodyWeight_g,TailLength_mm
7/17/18,9/9/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.69,71.5
7/17/18,9/16/18,61,8.714285714,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.96,71
7/17/18,9/16/18,61,8.714285714,BRAZIL,N11,193x255,193x255_BZ2,M,RT,10.16,74
7/17/18,9/16/18,61,8.714285714,BRAZIL,N11,193x255,193x255_BZ4,M,RT,13.93,82.5
7/17/18,9/16/18,61,8.714285714,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.95,73
7/17/18,9/23/18,68,9.714285714,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.92,72
7/17/18,9/23/18,68,9.714285714,BRAZIL,N11,193x255,193x255_BZ2,M,RT,10.18,76
7/17/18,9/23/18,68,9.714285714,BRAZIL,N11,193x255,193x255_BZ4,M,RT,14.36,83
7/17/18,9/23/18,68,9.714285714,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,11.98,73
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,10.89,72.5
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ2,M,RT,10.35,76
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ4,M,RT,14.42,83
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,12.52,73
8/13/18,9/3/18,21,3,BRAZIL,N11,193x255,193x255_BZ3,F,RT,6,60
8/13/18,9/3/18,21,3,BRAZIL,N11,193x255,193x255_BZ5,F,RT,5.26,56.5
8/13/18,9/3/18,21,3,BRAZIL,N11,193x255,193x255_BZ7,F,RT,6.54,62
8/13/18,9/3/18,21,3,BRAZIL,N11,193x255,193x255_BZ8,M,RT,6.42,61.5
8/13/18,9/3/18,21,3,BRAZIL,N11,193x255,193x255_BZ9,F,RT,6.44,61.5
8/13/18,9/6/18,24,3.428571429,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,6.51,63
8/13/18,9/6/18,24,3.428571429,BRAZIL,N11,193x255,193x255_BZ5,F,RT,5.82,59.5
8/13/18,9/6/18,24,3.428571429,BRAZIL,N11,193x255,193x255_BZ7,F,RT,7.18,65
8/13/18,9/6/18,24,3.428571429,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,7.02,65.5
8/13/18,9/6/18,24,3.428571429,BRAZIL,N11,193x255,193x255_BZ9,F,RT,6.67,64
8/13/18,9/14/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,8.31,65
8/13/18,9/14/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ5,F,RT,7.22,61.5
8/13/18,9/14/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ7,F,RT,9.7,71.5
8/13/18,9/14/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,9.66,67
8/13/18,9/14/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ9,F,RT,9.46,70.5
8/13/18,9/22/18,40,5.714285714,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,9.65,67.5
8/13/18,9/22/18,40,5.714285714,BRAZIL,N11,193x255,193x255_BZ5,F,RT,8.21,66.5
8/13/18,9/22/18,40,5.714285714,BRAZIL,N11,193x255,193x255_BZ7,F,RT,11.33,76.5
8/13/18,9/22/18,40,5.714285714,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,11.28,70.5
8/13/18,9/22/18,40,5.714285714,BRAZIL,N11,193x255,193x255_BZ9,F,RT,10.81,75.5
8/13/18,9/28/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.13,68.5
8/13/18,9/28/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ5,F,RT,8.64,69
8/13/18,9/28/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ7,F,RT,11.56,77
8/13/18,9/28/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,11.78,71
8/13/18,9/28/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ9,F,RT,10.84,76
8/13/18,10/6/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.51,69.5
8/13/18,10/6/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.57,71
8/13/18,10/6/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ7,F,RT,12.28,79.5
8/13/18,10/6/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,11.82,73
8/13/18,10/6/18,54,7.714285714,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.2,76
8/13/18,10/12/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.47,71.5
8/13/18,10/12/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.26,72
8/13/18,10/12/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ7,F,RT,11.88,79.5
8/13/18,10/12/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,12.27,74
8/13/18,10/12/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.01,79
8/13/18,10/19/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.94,72
8/13/18,10/19/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.69,74.5
8/13/18,10/19/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ7,F,RT,12.14,80
8/13/18,10/19/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,12.52,75.5
8/13/18,10/19/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.63,79
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,10.95,72.5
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ5,F,RT,9.38,74.5
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ7,F,RT,12.03,81
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,12.92,76
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ9,F,RT,11.39,79.5
9/8/18,9/29/18,21,3,BRAZIL,N11,193x255,193x255_BZ11,F,RT,5.92,58
9/8/18,10/3/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,6.93,61
9/8/18,10/10/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,8.56,67.5
9/8/18,10/17/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,9.85,71
9/8/18,10/24/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,10.12,73.5
9/8/18,10/31/18,53,7.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,10.54,76
9/8/18,11/7/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,10.75,77
9/8/18,11/14/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ11,F,RT,10.92,78
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ11,F,RT,10.71,79.5
9/8/18,9/29/18,21,3,BRAZIL,N11,193x255,193x255_BZ10,M,RT,5.49,53
9/8/18,10/3/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,6.91,57
9/8/18,10/10/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,9.75,64.5
9/8/18,10/17/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,11.11,70
9/8/18,10/24/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,11.76,73.5
9/8/18,10/31/18,53,7.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,12.32,75.5
9/8/18,11/7/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,12.27,77
9/8/18,11/14/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ10,M,RT,12.56,78.5
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ10,M,RT,12.78,78.5
9/8/18,9/29/18,21,3,BRAZIL,N11,193x255,193x255_BZ12,M,RT,5.61,56
9/8/18,10/3/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,6.91,60
9/8/18,10/10/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,8.89,64
9/8/18,10/17/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,10.8,67
9/8/18,10/24/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,11.41,70
9/8/18,10/31/18,53,7.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,11.64,70.5
9/8/18,11/7/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,12.08,72.5
9/8/18,11/14/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,12.55,73
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,13.18,76
9/8/18,9/29/18,21,3,BRAZIL,N11,193x255,193x255_BZ14,M,RT,5.5,55
9/8/18,10/3/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,6.21,58.5
9/8/18,10/10/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,7.6,64
9/8/18,10/17/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,8.96,67
9/8/18,10/24/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,9.7,70
9/8/18,10/31/18,53,7.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,10.58,75.5
9/8/18,11/7/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,10.99,76
9/8/18,11/14/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ14,M,RT,10.98,76
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ14,M,RT,10.96,78
9/8/18,9/29/18,21,3,BRAZIL,N11,193x255,193x255_BZ13,M,RT,5.04,55
9/8/18,10/3/18,25,3.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,5.85,56.5
9/8/18,10/10/18,32,4.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,7.5,59
9/8/18,10/17/18,39,5.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,8.98,62
9/8/18,10/24/18,46,6.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,9.79,64.5
9/8/18,10/31/18,53,7.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,10.26,66.5
9/8/18,11/7/18,60,8.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,10.74,68
9/8/18,11/14/18,67,9.571428571,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,11.26,70
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,11.59,70.5
6/9/18,6/30/18,21,3,BRAZIL,N12,222x254,222x254_BZ1,F,RT,6.01,56
6/9/18,6/30/18,21,3,BRAZIL,N12,222x254,222x254_BZ2,M,RT,5.96,56
6/9/18,6/30/18,21,3,BRAZIL,N12,222x254,222x254_BZ3,F,RT,4.82,54.5
6/9/18,7/5/18,26,3.714285714,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,8.28,63
6/9/18,7/5/18,26,3.714285714,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,8.72,65
6/9/18,7/5/18,26,3.714285714,BRAZIL,N12,222x254,222x254_BZ3,F,RT,7.73,60
6/9/18,7/11/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,9.96,65
6/9/18,7/11/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,11.35,66
6/9/18,7/11/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ3,F,RT,9.8,65.5
6/9/18,7/18/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,11.23,65
6/9/18,7/18/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,13.48,68.5
6/9/18,7/18/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ3,F,RT,12.27,71.5
6/9/18,7/25/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,12.66,66.5
6/9/18,7/25/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,13.88,71
6/9/18,7/25/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ3,F,RT,12.88,74.5
6/9/18,8/1/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,12.66,69.5
6/9/18,8/1/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,14.4,73
6/9/18,8/1/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ3,F,RT,13.26,77.5
6/9/18,8/8/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,13.34,69.5
6/9/18,8/8/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,15.14,73
6/9/18,8/8/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ3,F,RT,13.16,77.5
6/9/18,8/15/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,13.12,69.5
6/9/18,8/15/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,15.55,73
6/9/18,8/15/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ3,F,RT,13.21,77.5
6/9/18,8/22/18,74,10.57142857,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,13.12,70
6/9/18,8/22/18,74,10.57142857,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,15.85,75
6/9/18,8/22/18,74,10.57142857,BRAZIL,N12,222x254,222x254_BZ3,F,RT,13.23,78
6/9/18,8/25/18,77,11,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,13.49,70
6/9/18,8/25/18,77,11,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,15.81,76
6/9/18,8/25/18,77,11,BRAZIL,N12,222x254,222x254_BZ3,F,RT,13.48,78
7/20/18,8/14/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,9.14,66
7/20/18,8/14/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,8.25,67
7/20/18,8/14/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,7.3,66.5
7/20/18,8/14/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,8.16,66.5
7/20/18,8/21/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,11.87,70.5
7/20/18,8/21/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,9.76,71
7/20/18,8/21/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,8.76,66.5
7/20/18,8/21/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,9.85,68.5
7/20/18,8/28/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,13.05,75
7/20/18,8/28/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,11.33,75.5
7/20/18,8/28/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,10.17,66.5
7/20/18,8/28/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,11.6,72
7/20/18,9/4/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,13.83,77.5
7/20/18,9/4/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,12.36,78
7/20/18,9/4/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,11.7,69.5
7/20/18,9/4/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,12.51,73.5
7/20/18,9/11/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,14.01,77.5
7/20/18,9/11/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,12.37,79.5
7/20/18,9/11/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,12.39,70
7/20/18,9/11/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,12.69,76
7/20/18,9/18/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,14.23,78.5
7/20/18,9/18/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,12.66,81.5
7/20/18,9/18/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,12.93,70
7/20/18,9/18/18,60,8.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,13.25,77
7/20/18,9/25/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ4,M,RT,14.27,79
7/20/18,9/25/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ5,F,RT,12.6,81.5
7/20/18,9/25/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,12.4,72.5
7/20/18,9/25/18,67,9.571428571,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,13.19,78
7/20/18,10/4/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ4,M,RT,14.87,79.5
7/20/18,10/4/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ5,F,RT,12.76,82
7/20/18,10/4/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,12.03,74
7/20/18,10/4/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,13.2,78
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ4,M,RT,14.9,79.5
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ5,F,RT,13.34,82
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,12.36,74
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,13.96,78
8/12/18,9/2/18,21,3,BRAZIL,N12,222x254,222x254_BZ6,M,RT,7.66,62.5
8/12/18,9/2/18,21,3,BRAZIL,N12,222x254,222x254_BZ8,M,RT,7.02,59.5
8/12/18,9/2/18,21,3,BRAZIL,N12,222x254,222x254_BZ10,M,RT,8.17,63
8/12/18,9/2/18,21,3,BRAZIL,N12,222x254,222x254_BZ11,F,RT,6.6,57
8/12/18,9/2/18,21,3,BRAZIL,N12,222x254,222x254_BZ13,F,RT,7.05,62
8/12/18,9/2/18,21,3,BRAZIL,N12,222x254,222x254_BZ15,F,RT,6.5,58.5
8/12/18,9/6/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ6,M,RT,9.25,66
8/12/18,9/6/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ8,M,RT,8.89,63.5
8/12/18,9/6/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,9.5,66.5
8/12/18,9/6/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ11,F,RT,7.93,61
8/12/18,9/6/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,8.08,63.5
8/12/18,9/6/18,25,3.571428571,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,7.52,61.5
8/12/18,9/13/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ6,M,RT,11.58,71.5
8/12/18,9/13/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ8,M,RT,11.28,69
8/12/18,9/13/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,12.27,70
8/12/18,9/13/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ11,F,RT,9.22,66
8/12/18,9/13/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,9.92,66
8/12/18,9/13/18,32,4.571428571,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,10.3,65.5
8/12/18,9/20/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ6,M,RT,14.01,76.5
8/12/18,9/20/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ8,M,RT,13,73
8/12/18,9/22/18,41,5.857142857,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,13.73,74
8/12/18,9/20/18,39,5.571428571,BRAZIL,N12,222x254,222x254_BZ11,F,RT,10.65,69.5
8/12/18,9/22/18,41,5.857142857,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,11.27,68.5
8/12/18,9/22/18,41,5.857142857,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,12.69,68
8/12/18,9/27/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ6,M,RT,15.08,78
8/12/18,9/27/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ8,M,RT,13.3,75
8/12/18,9/27/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,13.81,74
8/12/18,9/27/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ11,F,RT,11.79,69.5
8/12/18,9/27/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,12.39,68.5
8/12/18,9/27/18,46,6.571428571,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,12.7,69.5
8/12/18,10/4/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ6,M,RT,15.33,79.5
8/12/18,10/4/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ8,M,RT,13.36,76
8/12/18,10/4/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,13.99,74.5
8/12/18,10/4/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ11,F,RT,12.33,73.5
8/12/18,10/4/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,12.26,70.5
8/12/18,10/4/18,53,7.571428571,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,12.58,71.5
8/12/18,10/12/18,61,8.714285714,BRAZIL,N12,222x254,222x254_BZ6,M,RT,15.5,81
8/12/18,10/12/18,61,8.714285714,BRAZIL,N12,222x254,222x254_BZ8,M,RT,13.98,76.5
8/12/18,10/12/18,61,8.714285714,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,14.66,74.5
8/12/18,10/12/18,61,8.714285714,BRAZIL,N12,222x254,222x254_BZ11,F,RT,12.27,74
8/12/18,10/12/18,61,8.714285714,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,12.63,72.5
8/12/18,10/12/18,61,8.714285714,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,13.15,71.5
8/12/18,10/19/18,68,9.714285714,BRAZIL,N12,222x254,222x254_BZ6,M,RT,15.73,81
8/12/18,10/19/18,68,9.714285714,BRAZIL,N12,222x254,222x254_BZ8,M,RT,14.03,77
8/12/18,10/19/18,68,9.714285714,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,14.72,76.5
8/12/18,10/19/18,68,9.714285714,BRAZIL,N12,222x254,222x254_BZ11,F,RT,12.13,75
8/12/18,10/19/18,68,9.714285714,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,12.98,73
8/12/18,10/19/18,68,9.714285714,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,12.86,71.5
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ6,M,RT,15.71,81.5
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ8,M,RT,14.01,77.5
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,14.85,78.5
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ11,F,RT,11.96,75
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,13.04,73
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,12.76,74
6/29/18,7/19/18,20,2.857142857,NEW_YORK,N11,19x13,19x13_NY1,F,RT,8.7,55.5
6/29/18,7/19/18,20,2.857142857,NEW_YORK,N11,19x13,19x13_NY2,M,RT,8.18,55
6/29/18,7/19/18,20,2.857142857,NEW_YORK,N11,19x13,19x13_NY3,F,RT,8.89,56
6/29/18,7/19/18,20,2.857142857,NEW_YORK,N11,19x13,19x13_NY4,M,RT,8.46,53
6/29/18,7/19/18,20,2.857142857,NEW_YORK,N11,19x13,19x13_NY5,F,RT,8.5,55.5
6/29/18,7/24/18,25,3.571428571,NEW_YORK,N11,19x13,19x13_NY1,F,RT,11.66,60
