GUID,Collector_ID,DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,Total_Length_mm,Tail_Length_mm,Hindfoot_Length_mm,Ear_Length_mm,Body_Weight_g,
MVZ:Mamm:240675,MAB209,9/8/18,11/21/18,74,10.57,Brazil,N11,MANA,193x255_BZ14,Male,Warm,150,78,17.5,14,10.96,
MVZ:Mamm:240676,MAB210,11/23/18,2/2/19,71,10.14,Brazil,N11,MANA,193x255_BZ18,Male,Warm,149,80,17,14,10.92,
MVZ:Mamm:240677,MAB211,10/29/18,1/16/19,79,11.29,Brazil,N11,MANA,193x255_BZ19,Female,Cold,143,71,17,13,10.86,
MVZ:Mamm:240678,MAB212,11/23/18,2/2/19,71,10.14,Brazil,N11,MANA,193x255_BZ20,Male,Cold,152,74,17.5,13,12.29,
MVZ:Mamm:240679,MAB213,10/29/18,1/16/19,79,11.29,Brazil,N11,MANA,193x255_BZ21,Female,Cold,147,73,17,13.5,11.83,
MVZ:Mamm:240680,MAB214,10/29/18,1/16/19,79,11.29,Brazil,N11,MANA,193x255_BZ23,Female,Warm,156,77.5,17,14,11.79,
MVZ:Mamm:240681,MAB215,11/23/18,2/2/19,71,10.14,Brazil,N11,MANA,193x255_BZ25,Female,Cold,150,75.5,17,13.5,11.62,
MVZ:Mamm:240682,MAB216,2/1/19,4/22/19,80,11.43,Brazil,N11,MANA,193x255_BZ26,Male,Cold,151,72.5,18,13.5,12.87,
MVZ:Mamm:240683,MAB217,11/23/18,2/2/19,71,10.14,Brazil,N11,MANA,193x255_BZ27,Female,Warm,156,80.5,17,14,10.87,
MVZ:Mamm:240684,MAB218,2/1/19,4/21/19,79,11.29,Brazil,N11,MANA,193x255_BZ28,Male,Cold,156.5,75,18,13.5,14.05,
MVZ:Mamm:240685,MAB219,11/23/18,2/2/19,71,10.14,Brazil,N11,MANA,193x255_BZ29,Female,Cold,148,73,17,13,11.34,
MVZ:Mamm:240686,MAB220,2/1/19,4/21/19,79,11.29,Brazil,N11,MANA,193x255_BZ30,Male,Warm,160,83,18,14,14.05,
MVZ:Mamm:240687,MAB221,12/18/18,3/2/19,74,10.57,Brazil,N11,MANA,193x255_BZ31,Female,Warm,153,79,17,14,11.61,
MVZ:Mamm:240688,MAB222,12/18/18,3/2/19,74,10.57,Brazil,N11,MANA,193x255_BZ33,Female,Cold,147,71,17.5,12.5,11.81,
MVZ:Mamm:240689,MAB223,6/9/18,8/25/18,77,11,Brazil,N12,MANB,222x254_BZ1,Female,Cold,156,70,17,13,13.49,
MVZ:Mamm:240690,MAB224,6/9/18,8/25/18,77,11,Brazil,N12,MANB,222x254_BZ2,Male,Cold,163,76,17,13,15.81,
MVZ:Mamm:240691,MAB225,6/9/18,8/25/18,77,11,Brazil,N12,MANB,222x254_BZ3,Female,Warm,163,78,17,18,13.48,
MVZ:Mamm:240692,MAB226,7/20/18,10/9/18,81,11.57,Brazil,N12,MANB,222x254_BZ4,Male,Warm,166.5,79.5,17,12.5,14.9,
MVZ:Mamm:240693,MAB227,7/20/18,10/9/18,81,11.57,Brazil,N12,MANB,222x254_BZ5,Female,Warm,169,82,18,NA,13.34,
MVZ:Mamm:240694,MAB228,8/12/18,10/27/18,76,10.86,Brazil,N12,MANB,222x254_BZ6,Male,Warm,162,81.5,17,14,15.71,
MVZ:Mamm:240695,MAB229,7/20/18,10/9/18,81,11.57,Brazil,N12,MANB,222x254_BZ7,Female,Cold,153.5,74,16,12,12.36,
MVZ:Mamm:240696,MAB230,8/12/18,10/27/18,76,10.86,Brazil,N12,MANB,222x254_BZ8,Male,Warm,166,77.5,17,13,14.01,
MVZ:Mamm:240697,MAB231,7/20/18,10/9/18,81,11.57,Brazil,N12,MANB,222x254_BZ9,Female,Cold,162,78,18,13,13.96,
MVZ:Mamm:240698,MAB232,8/12/18,10/27/18,76,10.86,Brazil,N12,MANB,222x254_BZ10,Male,Cold,165,78.5,18,13,14.85,
MVZ:Mamm:240699,MAB233,8/12/18,10/27/18,76,10.86,Brazil,N12,MANB,222x254_BZ11,Female,Warm,158,75,17,13,11.96,
MVZ:Mamm:240700,MAB234,8/12/18,10/27/18,76,10.86,Brazil,N12,MANB,222x254_BZ13,Female,Cold,161,73,17.5,13,13.04,
MVZ:Mamm:240701,MAB235,8/12/18,10/27/18,76,10.86,Brazil,N12,MANB,222x254_BZ15,Female,Cold,155,74,17,13,12.76,
MVZ:Mamm:240702,MAB236,6/29/18,9/10/18,73,10.43,New York,N11,SARA,19x13_NY1,Female,Warm,171,72,18.5,13.5,12.96,
MVZ:Mamm:240703,MAB237,6/29/18,9/10/18,73,10.43,New York,N11,SARA,19x13_NY2,Male,Warm,168,75.5,18,13,14.52,
MVZ:Mamm:240704,MAB238,6/29/18,9/10/18,73,10.43,New York,N11,SARA,19x13_NY3,Female,Warm,151,71,18,14,13.13,
MVZ:Mamm:240705,MAB239,6/29/18,9/10/18,73,10.43,New York,N11,SARA,19x13_NY4,Male,Cold,163.5,70.5,18.5,13,15.3,
MVZ:Mamm:240706,MAB240,6/29/18,9/10/18,73,10.43,New York,N11,SARA,19x13_NY5,Female,Cold,163.5,69.5,18.5,13,12.52,
MVZ:Mamm:240707,MAB241,7/20/18,10/1/18,73,10.43,New York,N11,SARA,19x13_NY6,Male,Cold,160,71.5,18.5,12,18.52,
MVZ:Mamm:240708,MAB242,7/20/18,10/1/18,73,10.43,New York,N11,SARA,19x13_NY7,Female,Cold,161,73,18,12.5,16.76,
MVZ:Mamm:240709,MAB243,7/20/18,10/1/18,73,10.43,New York,N11,SARA,19x13_NY8,Male,Warm,155,70.5,18,13,13,
MVZ:Mamm:240710,MAB244,8/10/18,10/22/18,73,10.43,New York,N11,SARA,19x13_NY9,Female,Warm,160,74,18,13.5,14.48,
MVZ:Mamm:240711,MAB245,8/10/18,10/22/18,73,10.43,New York,N11,SARA,19x13_NY10,Male,Cold,159,73,18,13,17.06,
MVZ:Mamm:240712,MAB246,11/13/18,1/26/19,74,10.57,New York,N11,SARA,19x13_NY11,Female,Cold,155,69,18,13,14.6,
MVZ:Mamm:240713,MAB247,8/10/18,10/22/18,73,10.43,New York,N11,SARA,19x13_NY12,Male,Warm,164,76.5,19,14,19.11,
MVZ:Mamm:240714,MAB248,11/13/18,1/26/19,74,10.57,New York,N11,SARA,19x13_NY13,Female,Cold,144,66,17.5,13,13.62,
MVZ:Mamm:240715,MAB249,11/13/18,1/26/19,74,10.57,New York,N11,SARA,19x13_NY14,Male,Cold,155,69.5,18,13,15.52,
MVZ:Mamm:240716,MAB250,11/13/18,1/26/19,74,10.57,New York,N11,SARA,19x13_NY15,Female,Warm,146.5,67.5,18,13,11.32,
MVZ:Mamm:240717,MAB251,12/30/18,3/17/19,77,11,New York,N11,SARA,19x13_NY16,Male,Cold,154,68,18,12.5,16.2,
MVZ:Mamm:240718,MAB252,12/30/18,3/17/19,77,11,New York,N11,SARA,19x13_NY17,Female,Cold,158.5,66.5,17,12,12.78,
MVZ:Mamm:240719,MAB253,12/30/18,3/17/19,77,11,New York,N11,SARA,19x13_NY18,Male,Warm,160,69,18,13,16,
MVZ:Mamm:240724,MAB258,4/6/19,6/20/19,75,10.71,New York,N12,SARA,19x13_NY23,Female,Cold,159,74.5,19,13.5,16.69,
MVZ:Mamm:240725,MAB259,4/6/19,6/18/19,73,10.43,New York,N12,SARA,19x13_NY24,Male,Warm,158,73,19,14,17.95,
MVZ:Mamm:240726,MAB260,4/6/19,6/20/19,75,10.71,New York,N12,SARA,19x13_NY25,Female,Warm,151,70.5,18.5,14,14.08,
MVZ:Mamm:240727,MAB261,4/6/19,6/18/19,73,10.43,New York,N12,SARA,19x13_NY26,Male,Cold,164,73,20,13.5,17.3,
MVZ:Mamm:240728,MAB262,4/28/19,7/19/19,82,11.71,New York,N12,SARA,19x13_NY32,Male,Cold,167,73,19,13.5,17.44,
MVZ:Mamm:240729,MAB263,4/28/19,7/19/19,82,11.71,New York,N12,SARA,19x13_NY33,Female,Warm,159,72,19,14,17.23,
MVZ:Mamm:240730,MAB264,4/28/19,7/19/19,82,11.71,New York,N12,SARA,19x13_NY34,Male,Warm,156.5,72,19,14,16.31,
MVZ:Mamm:240731,MAB265,6/10/18,8/26/18,77,11,New York,N12,SARB,82x81_NY1,Female,Cold,155,64.5,18,13,18.1,
MVZ:Mamm:240732,MAB266,6/10/18,8/26/18,77,11,New York,N12,SARB,82x81_NY2,Male,Warm,176,72,18.5,14.5,21.84,
MVZ:Mamm:240733,MAB267,7/7/18,9/17/18,72,10.29,New York,N12,SARB,82x81_NY3,Female,Warm,162,71,18.5,14,17.72,
MVZ:Mamm:240734,MAB268,6/10/18,8/26/18,77,11,New York,N12,SARB,82x81_NY4,Male,Cold,162,65.5,18,14,18.38,
MVZ:Mamm:240735,MAB269,7/7/18,9/17/18,72,10.29,New York,N12,SARB,82x81_NY5,Female,Cold,158,67,18,13.5,17.8,
MVZ:Mamm:240736,MAB270,6/10/18,8/26/18,77,11,New York,N12,SARB,82x81_NY6,Male,Cold,156,66.5,18,13,18.38,
MVZ:Mamm:240737,MAB271,7/7/18,9/17/18,72,10.29,New York,N12,SARB,82x81_NY7,Female,Warm,164,67.5,18,14.5,16.61,
MVZ:Mamm:240738,MAB272,6/10/18,8/26/18,77,11,New York,N12,SARB,82x81_NY8,Male,Warm,165,71.5,18,15,21.35,
MVZ:Mamm:240739,MAB273,8/19/18,11/3/18,76,10.86,New York,N12,SARB,82x81_NY9,Female,Cold,144,63.5,17.5,13,15.72,
MVZ:Mamm:240740,MAB274,6/10/18,8/26/18,77,11,New York,N12,SARB,82x81_NY10,Male,Warm,171,70.5,17,14,19.23,
MVZ:Mamm:240741,MAB275,8/19/18,11/3/18,76,10.86,New York,N12,SARB,82x81_NY11,Female,Cold,156,71.5,18,14,19.59,
MVZ:Mamm:240742,MAB276,8/19/18,11/3/18,76,10.86,New York,N12,SARB,82x81_NY12,Male,Cold,163,74.5,18.5,13.5,23.48,
MVZ:Mamm:240743,MAB277,8/19/18,11/3/18,76,10.86,New York,N12,SARB,82x81_NY13,Female,Warm,154,69,17.5,14,16.36,
MVZ:Mamm:240744,MAB278,8/19/18,11/3/18,76,10.86,New York,N12,SARB,82x81_NY15,Female,Cold,156.5,70,18,14,18.88,
MVZ:Mamm:240745,MAB279,8/19/18,11/3/18,76,10.86,New York,N12,SARB,82x81_NY17,Female,Warm,156,70,17,14,16.82,
